CMDLINE python3 benchs/sift_multiple_threads.py --chunks 100 --multiprocessing --dataset-directory data/sift1M --file-prefix sift_base -o data/extracted_vectors.txt
MEM 0.125000 1699260203.5395
MEM 17.625000 1699260203.6400
MEM 26.445312 1699260203.7403
MEM 86.902344 1699260203.8406
MEM 189.000000 1699260203.9410
MEM 293.082031 1699260204.0413
MEM 401.105469 1699260204.1423
MEM 509.105469 1699260204.2446
MEM 881.488281 1699260204.3451
MEM 523.527344 1699260204.4455
MEM 523.527344 1699260204.5458
MEM 523.527344 1699260204.6461
MEM 523.527344 1699260204.7466
MEM 523.527344 1699260204.8473
MEM 523.527344 1699260204.9498
MEM 523.527344 1699260205.0502
MEM 523.527344 1699260205.1525
MEM 523.527344 1699260205.2528
MEM 523.527344 1699260205.3533
MEM 523.527344 1699260205.4544
MEM 523.527344 1699260205.5548
MEM 523.527344 1699260205.6551
MEM 523.527344 1699260205.7553
MEM 523.527344 1699260205.8557
MEM 523.527344 1699260205.9560
MEM 36.140625 1699260206.0563
MEM 36.265625 1699260206.1596
MEM 36.265625 1699260206.2600
MEM 36.265625 1699260206.3603
MEM 36.265625 1699260206.4607
MEM 36.265625 1699260206.5610
MEM 36.265625 1699260206.6613
MEM 36.265625 1699260206.7620
MEM 36.265625 1699260206.8624
MEM 36.265625 1699260206.9626
MEM 36.265625 1699260207.0630
MEM 36.265625 1699260207.1635
MEM 36.265625 1699260207.2638
MEM 36.265625 1699260207.3641
MEM 36.265625 1699260207.4644
MEM 36.265625 1699260207.5648
MEM 36.265625 1699260207.6651
MEM 36.265625 1699260207.7654
MEM 36.265625 1699260207.8657
MEM 36.265625 1699260207.9660
MEM 36.265625 1699260208.0663
MEM 36.265625 1699260208.1667
MEM 36.265625 1699260208.2670
MEM 36.265625 1699260208.3672
MEM 36.265625 1699260208.4675
MEM 36.265625 1699260208.5678
MEM 36.265625 1699260208.6682
MEM 36.265625 1699260208.7685
MEM 36.265625 1699260208.8688
MEM 36.265625 1699260208.9691
MEM 36.265625 1699260209.0694
MEM 36.265625 1699260209.1697
MEM 36.265625 1699260209.2701
MEM 36.265625 1699260209.3704
MEM 36.265625 1699260209.4707
MEM 36.265625 1699260209.5710
MEM 36.265625 1699260209.6713
MEM 36.265625 1699260209.7716
MEM 36.265625 1699260209.8719
MEM 36.265625 1699260209.9722
MEM 36.265625 1699260210.0726
MEM 36.265625 1699260210.1729
MEM 36.265625 1699260210.2732
MEM 36.265625 1699260210.3735
MEM 36.265625 1699260210.4738
MEM 36.265625 1699260210.5741
MEM 36.265625 1699260210.6744
MEM 36.265625 1699260210.7748
MEM 36.265625 1699260210.8751
MEM 36.265625 1699260210.9754
MEM 36.265625 1699260211.0757
MEM 36.265625 1699260211.1761
MEM 36.265625 1699260211.2764
MEM 36.265625 1699260211.3767
MEM 36.265625 1699260211.4770
MEM 36.265625 1699260211.5773
MEM 36.265625 1699260211.6776
