CMDLINE python sift_multiple_threads.py -dir ../data/sift1M --multiprocessing -n 8
MEM 0.125000 1697737321.8222
MEM 21.625000 1697737321.9224
MEM 40.812500 1697737322.0228
MEM 121.652344 1697737322.1233
MEM 137.378906 1697737322.2238
MEM 173.277344 1697737322.3244
MEM 209.152344 1697737322.4251
MEM 249.027344 1697737322.5255
MEM 284.097656 1697737322.6261
MEM 332.097656 1697737322.7266
MEM 374.054688 1697737322.8272
MEM 391.980469 1697737322.9276
MEM 414.410156 1697737323.0308
MEM 445.785156 1697737323.1321
MEM 450.308594 1697737323.2324
MEM 467.058594 1697737323.3330
MEM 507.183594 1697737323.4338
MEM 528.308594 1697737323.5344
MEM 566.683594 1697737323.6383
MEM 616.800781 1697737323.7388
MEM 723.050781 1697737323.8392
MEM 794.675781 1697737323.9397
MEM 851.800781 1697737324.0401
MEM 923.300781 1697737324.1406
MEM 1011.300781 1697737324.2409
MEM 573.503906 1697737324.3413
MEM 586.640625 1697737324.4418
MEM 659.140625 1697737324.5422
MEM 647.707031 1697737324.6426
MEM 586.753906 1697737324.7431
MEM 707.378906 1697737324.8435
MEM 647.796875 1697737324.9438
MEM 606.300781 1697737325.0441
MEM 647.839844 1697737325.1444
MEM 647.839844 1697737325.2447
MEM 632.675781 1697737325.3451
MEM 647.839844 1697737325.4454
MEM 647.839844 1697737325.5457
MEM 633.320312 1697737325.6460
MEM 647.859375 1697737325.7463
MEM 647.859375 1697737325.8467
MEM 646.234375 1697737325.9475
MEM 647.898438 1697737326.0478
MEM 647.898438 1697737326.1482
MEM 620.859375 1697737326.2486
MEM 647.898438 1697737326.3489
MEM 647.898438 1697737326.4492
MEM 604.609375 1697737326.5631
MEM 682.859375 1697737326.6635
MEM 647.789062 1697737326.7639
MEM 586.769531 1697737326.8642
MEM 586.769531 1697737326.9646
MEM 586.769531 1697737327.0649
MEM 586.769531 1697737327.1652
MEM 586.769531 1697737327.2655
MEM 586.769531 1697737327.3659
MEM 586.769531 1697737327.4662
MEM 586.769531 1697737327.5665
MEM 586.769531 1697737327.6668
MEM 586.769531 1697737327.7671
MEM 586.769531 1697737327.8674
MEM 586.769531 1697737327.9680
MEM 586.769531 1697737328.0683
MEM 586.769531 1697737328.1687
MEM 586.769531 1697737328.2690
MEM 586.769531 1697737328.3693
MEM 586.769531 1697737328.4696
MEM 586.769531 1697737328.5699
MEM 586.769531 1697737328.6702
MEM 586.769531 1697737328.7705
MEM 586.769531 1697737328.8708
MEM 586.769531 1697737328.9711
MEM 586.769531 1697737329.0714
MEM 586.769531 1697737329.1770
MEM 586.769531 1697737329.2774
MEM 586.769531 1697737329.3777
MEM 586.769531 1697737329.4780
MEM 586.769531 1697737329.5783
MEM 586.769531 1697737329.6786
MEM 586.769531 1697737329.7799
MEM 586.769531 1697737329.8836
MEM 586.769531 1697737329.9839
MEM 586.769531 1697737330.0842
MEM 586.769531 1697737330.1844
MEM 586.769531 1697737330.2850
MEM 586.769531 1697737330.3853
MEM 586.769531 1697737330.4856
MEM 586.769531 1697737330.5859
MEM 586.769531 1697737330.6862
MEM 586.769531 1697737330.7865
MEM 586.769531 1697737330.8869
MEM 586.769531 1697737330.9872
MEM 586.769531 1697737331.0875
MEM 586.769531 1697737331.1878
MEM 586.769531 1697737331.2882
MEM 586.769531 1697737331.3889
MEM 586.769531 1697737331.4913
MEM 586.769531 1697737331.5916
MEM 586.769531 1697737331.6919
MEM 586.769531 1697737331.7922
MEM 586.769531 1697737331.9010
MEM 586.769531 1697737332.0018
MEM 586.769531 1697737332.1022
MEM 586.769531 1697737332.2025
MEM 586.769531 1697737332.3029
MEM 586.769531 1697737332.4032
MEM 586.769531 1697737332.5035
MEM 586.769531 1697737332.6038
MEM 586.769531 1697737332.7041
MEM 586.769531 1697737332.8139
MEM 586.769531 1697737332.9143
MEM 586.769531 1697737333.0146
MEM 586.769531 1697737333.1149
MEM 586.769531 1697737333.2152
MEM 586.769531 1697737333.3156
MEM 586.769531 1697737333.4159
MEM 586.769531 1697737333.5162
MEM 586.769531 1697737333.6165
MEM 586.769531 1697737333.7168
MEM 586.769531 1697737333.8177
MEM 586.769531 1697737333.9180
MEM 586.769531 1697737334.0183
MEM 586.769531 1697737334.1186
MEM 586.769531 1697737334.2189
MEM 586.769531 1697737334.3193
MEM 586.769531 1697737334.4198
MEM 586.769531 1697737334.5232
MEM 586.769531 1697737334.6235
MEM 586.769531 1697737334.7239
MEM 586.769531 1697737334.8242
MEM 586.769531 1697737334.9248
MEM 204.105469 1697737335.0252
